                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3191645239300821E-004   0.8249086336987004E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1231018750737086E-004   0.9721641031002804E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5230666384610278E-005   0.1117329457268517E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2267847777819277E-005   0.1262788827263319E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1013166138590278E-005   0.1406694364290334E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4542767562610247E-006   0.1547692996100027E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2195353937721554E-006   0.1686005267299104E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1209130005828563E-006   0.1821409860585198E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7438901729268075E-007   0.1956908062260721E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4910050259014059E-007   0.2093023822870571E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3318716804243707E-007   0.2228595687354624E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2351374507068038E-007   0.2363528033471671E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1813050279743510E-007   0.2497555385869182E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1502245202421158E-007   0.2632049694102115E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1308807844476714E-007   0.2767657326582654E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1162887476672051E-007   0.2903632086704805E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1047757493392170E-007   0.3040061880184565E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9695279951934834E-008   0.3176504837806142E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.9179629881137517E-008   0.3313101619051670E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8906093712877075E-008   0.3450307425126543E+004   0.0000000000000000E+000                         0                         0                        24                        24
